veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm,stage_ft,stage_count,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi,stage_missing,climate_missing
Spikerush,2023,2,-9.458861179101715,0.0559710254012367,-0.2038792127866386,0.1008736079716769,0.3302661231597633,-0.3817222275494735,0.5185348075491988,-21.7528444638274,-12.293983287382844,0.162370252177559,-10.74678853069069,0.2218247914587011,0.5184099219535984,15.809642857142858,28,10.866173581416843,28.433294811048174,34.717912862591014,97.00948803883044,3.2948965676643933,False,False
Spikerush,2023,3,-7.496964322710221,0.1011412406090751,-0.2675103975642208,0.1410532957522111,0.3317650987716908,-0.4052004208970138,0.6949282436969936,-18.22986639816363,-10.732902076257831,0.191319878377659,-8.941201138358672,0.2590418881932126,0.6985896008381155,15.008387096774193,31,28.24118802727377,29.62740090142146,26.307662082514724,137.55139258060785,2.26184560268115,False,False
Spikerush,2023,4,-6.775516857481941,0.1258965473924259,-0.2968693760984684,0.155475851231874,0.3272663073955507,-0.4115594356174972,0.7673061597442112,-16.450272957209897,-9.674756097817522,0.2028795686732835,-8.033309938191287,0.2739028093318685,0.7891881205237014,14.314666666666666,30,181.9708771524326,30.91073616086905,57.17603143418464,142.006390847105,4.134114180053159,False,False
Spikerush,2023,5,-7.009030260075283,0.1416086231757373,-0.3083422270961328,0.1711651988712161,0.3426694769031958,-0.4181233443538049,0.7653674070729547,-16.022095341840224,-9.013065073892404,0.2184810996500497,-7.819705817183738,0.2939598450792517,0.810503689127579,13.953225806451613,31,110.5875418929851,31.746365422396845,39.40318964520974,168.78529989598977,3.7682341384490905,False,False
Spikerush,2023,6,-8.857977878498062,0.1173690385795524,-0.2620602080031474,0.0981990587616147,0.290480685158758,-0.3589055023287428,0.6225400403237339,-18.23408693134583,-9.376109046716188,0.168682927499975,-8.961408454059086,0.229940248511722,0.6965731115396848,14.194666666666667,30,202.24176586155085,32.96892407257598,78.29684502484683,153.21518548480296,3.421560152548248,False,False
Spikerush,2023,7,-10.873539468739736,0.0819882413762692,-0.2014444305281063,0.0361121392908904,0.2753614035130243,-0.3315850443226864,0.4346026333862672,-20.61947959770257,-9.7459401229074,0.1311539280600613,-10.20108913899086,0.181693670374562,0.5728652984042286,14.896129032258063,31,189.7768404021726,34.69369004969374,96.20873685427016,162.05787588119722,3.2566450941869878,False,False
Spikerush,2023,8,-13.034888668942102,0.0468231469014688,-0.0739137313157651,-0.0220411493570514,0.2629056358578761,-0.2897030079431494,0.277223986578322,-23.689605983592863,-10.654717308317338,0.0958958778007645,-11.775496993568495,0.1363665819313271,0.4157550400607231,15.324516129032258,31,219.71466543395357,34.81335952848722,125.39326245232866,158.19248815439727,3.4368658268808487,False,False
Spikerush,2023,9,-14.110783632431009,0.0393940975598897,-0.0610599182748755,-0.0255636960140824,0.2986096447702459,-0.3078238159298991,0.2123529970386614,-25.554376697141613,-11.443593061157298,0.1041466821053511,-12.724100098422817,0.1469736612704124,0.3210938768584504,15.446333333333333,30,218.83254362648785,33.258511498902095,125.41852536692473,129.9418120882931,3.997133941985437,False,False
Spikerush,2023,10,-14.366426733765168,0.0384595553968509,-0.0825711742541799,-0.0044998137891389,0.330435174885016,-0.3468496146725407,0.1928175379293604,-26.23752122040669,-11.871094480725066,0.1214649721642426,-13.07055622424189,0.1692377303103046,0.2865209983798129,16.174193548387095,31,52.76655495203973,30.89432566739858,76.7766670518895,127.0104356870449,3.287496821911475,False,False
Spikerush,2023,11,-13.810647844033618,0.0482124607007451,-0.147005741284571,0.0475909843468387,0.374324171801213,-0.4131199890508545,0.231799350042455,-25.893614428689368,-12.082966573934218,0.1567092056162656,-12.888857374153687,0.2145470561251269,0.3046527380018397,16.04,30,129.881428406333,28.30137524557956,95.47457529180626,92.01225008667512,4.276210562810586,False,False
